name,label_malagasy,label_french,label_english
11,Toaka,"Boisson, alcool","Beverage, alcohol"
12,Zava-pisotro misy alikaola,Boisson fermentée,"Beverage, fermented"
13,mofo,Pain,Bread
14,"Dibera, anana","Beurre, végétal","Butter, vegetable"
15,Mofomamy ,Gâteaux et biscuits,Cakes and biscuits
16,Produits en conserve,Produits en conserve,Canned products
17,Sigara sy sigara,Cigares et cigarrets,Cigars and cigarrettes
18,arintany,Charbon,Coal
19,"Kafe, natsatsika na tany","Café, torréfié ou moulu","Coffee, roasted or grounded"
20,Voankazo na voankazo,Concentré de fruits ou de cultures,Concentrated of fruits or crops
21,Cultures séchées,Cultures séchées,Dried crops
22,Fruits secs,Fruits secs,Dried fruits
23,Fanalana menaka,Extraits d'huiles,Extracts of oils
24,kofehy,Les fibres,Fibers
25,koba tsara toto,Farine,Flour
26,Voninkazo,Fleurs,Flowers
27,Déchets alimentaires,Déchets alimentaires,Food waste
281,Jus,Jus,Juices
282,Zavamaniry fanafody,Plantes médicinales,Medicinal plants
29,Mélasse,Mélasse,Molasses
30,holatra,Champignons,Mushrooms
31,Walnut (voahosotra),Noix (décortiquées),Nuts (shelled)
32,Menaka (menaka anana),Huiles (huiles végétales),Oils (vegetable oils)
33,Paty,Pâtes,Pastes
34,Conserves et confitures,Conserves et confitures,Preserves and jams
35,zava-pisotro,Bois,Wood
77,Ny hafa,Autres,Other
-97,tsy misy,Aucun,None
