name,label_malagasy,label_french,label_english
221,"Amandes, avec coque","Amandes, avec coque","Almonds, with shell"
711,"Anis, badiane, fenouil, coriandre","Anis, badiane, fenouil, coriandre","Anise, badian, fennel, coriander"
515,paoma,Pommes,Apples
526,Abricots,Abricots,Apricots
226,Areca voanjo,Noix d'arec,Areca nuts
366,Artichokes,Artichauts,Artichokes
367,Asperza,Asperges,Asparagus
572,Avocats,Avocats,Avocados
203,tsaramaso Bambara,Haricots bambara,Bambara beans
486,akondro,Bananes,Bananas
44,Ny vary hordea,Orge,Barley
558,voaroy,Baies,Berries
552,Blueberries,Myrtilles,Blueberries
216,"Brezila voanjo, misy akorandriaka","Noix du Brésil, avec coque","Brazil nuts, with shell"
181,"Tsaramaso malalaka, tsaramaso soavaly, maina","Fèves larges, fèves à cheval, sèches","Broad beans, horse beans, dry"
89,Buckwheat,Sarrasin,Buckwheat
358,Laisoa sy brassicas hafa,Choux et autres brassicacées,Cabbages and other brassicas
101,Voa canary,Graines de canari,Canary seed
461,Carobs,Caroubes,Carobs
426,Karaoty sy sakamalaho,Carottes et navets,Carrots and turnips
217,"Voanjo cashew, misy akorandriaka","Noix de cajou, avec coque","Cashew nuts, with shell"
591,paoma cashew,Pomme de cajou,Cashewapple
125,mangahazo,Manioc,Cassava
378,ravina mangahazo,Feuilles de manioc,Cassava leaves
265,Graine de ricin,Graine de ricin,Castor oil seed
393,Souflera sy broccoli,Choux-fleurs et brocolis,Cauliflowers and broccoli
220,voa,Châtaigne,Chestnut
191,voanjobory asiana,Pois chiches,Chick peas
459,Chicory,Chicorée,Chicory
693,havozomanitra,Cannelle,Cinnamon (cannella)
512,karazana voasary,Agrumes,Citrics
698,jirofo,Clous de girofle,Cloves
661,"Kakao, tsaramaso","Cacao, fèves","Cocoa, beans"
249,Voanio,Noix de coco,Coconuts
813,Fibre voanio,Fibre de coco,Coir
554,Cranberries,Canneberges,Cranberries
397,Kôkômbra sy pickles,Concombres et cornichons,Cucumbers and gherkins
550,Currants,Groseilles,Currants
577,DATY,Dattes,Dates
754,pyrethrum maina,Pyréthre séché,Dried pyrethrum
176,tsaramaso maina,Haricots secs,Dry beans
689,sakay maina,Piments secs,Dry chillies and peppers
195,"tsaramaso omby, maina","Haricots vaches, secs",Dry cow peas
403,Tongolo maina,Oignons secs,Dry onions
187,Voa maina,Pois secs,Dry peas
399,Baranjely,Aubergines,Eggplants (aubergines)
569,aviavy,Figues,Figs
773,Fibre sy wicks,Fibre de lin et mèches,Flax fibre and tow
94,Fonio,Fonio,Fonio
619,Voankazo vaovao,Fruits frais,Fresh fruit
463,Legioma vaovao,Légumes frais,Fresh vegetables
542,Voankazo,Fruit,Fruit
406,Tongolo gasy,Ail,Garlic
720,Ginger,Gingembre,Ginger
549,Gooseberries,Groseilles à maquereau,Gooseberries
507,Grapefruits (anisan'izany ny pomelos),Pamplemousses (y compris les pomelos),Grapefruit (including pomelos)
560,voaloboka,Raisins,Grapes
414,Haricot vert,Haricots verts,Green beans
401,Sakay maitso,Piments verts,Green chillies and peppers
656,kafe maitso,Café vert,Green coffee
446,Katsaka maitso,Maïs vert,Green maize
402,Tongolo maitso,Oignons verts,"Green onions, shallots"
417,Pea maitso kely,Petits pois verts,Green peas
242,"Voanjo, misy akorandriaka","Arachides, avec coque","Groundnuts, with shell"
225,"Hazelnut, misy akorandriaka","Noisettes, avec coque","Hazelnuts, with shell"
777,fako hemp,Déchets de chanvre,Hemp tow waste
336,Voa hemp,Graine de chanvre,Hempseed
677,mitsambikina,Houblon,Hops
277,Voa jojoba,Graine de jojoba,Jojoba seed
780,Jute,Jute,Jute
310,Voankazo kapok,Fruit du kapokier,Kapok fruit
592,Voankazo kiwi,Fruits du kiwi,Kiwi fruit
224,Cola voanjo,Noix de cola,Kola nuts
407,"Leeks, legioma hafa mifangaro","Poireaux, autres légumes alliacés","Leeks, other alliaceous vegetables"
420,Leguminous legioma,Légumes légumineux,Leguminous vegetables
497,Voasary makirana sy sokay,Citrons et citrons verts,Lemons and limes
201,Mitovy amin'ilay family mbola,Lentilles,Lentils
372,Salady sy chicory,Laitue et chicorée,Lettuce and chicory
333,voanio,Graines de lin,Linseed
210,Lupins,Lupins,Lupins
56,SAINGY,Maïs,Maize
571,"Mangahazo, mangosteen, goavy","Mangues, mangoustans, goyaves","Mangoes, mangosteens, guavas"
809,Fibre manille (abaka),Fibre de manille (abaca),Manila fibre (abaca)
671,Maté,Maté,Maté
568,Melon,Melons,Melons
299,Voa melon,Graine de melon,Melonseed
79,Mil,Mil,Millet
103,Fangaro voamadinika,Mélange de céréales,Mixed grain
449,Holatra sy truffles,Champignons et truffes,Mushrooms and truffles
292,voantsinapy,Graine de moutarde,Mustard seed
836,Fingotra voajanahary,Caoutchouc naturel,Natural rubber
