name,label_malagasy,label_french,label_english
0,Omby / omby,"Vache, Taureau, Boeuf, Veau",Cow / Bull
1,ombidia,Bison,Bison
2,ombidia rano,Buffle,Water buffalo
3,Soavaly,Cheval,Horse
4,serfa,Renne,Reindeer
5,boriky,Âne,Donkey
6,ramole,Mule,Mule
7,Ondry,Mouton,Sheep
8,Goat,Chèvre,Goat
9,kisoa,Porc,Pig
10,rameva,Chameau,Camel
11,Llama,Lama,Llama
12,Bitro,Lapin,Rabbit
13,Akoho,Poulet,Chicken
14,Gana,Canard,Duck
15,gisa,Oie,Goose
16,vorontsiloza,Dindon,Turkey
17,Voromailala,Pigeon,Pigeon
18,aotirisy,Autruche,Ostrich
19,TRONDRO,Poisson,Fish
20,hazandrano,Crustacés,Crustaceans
21,Molluscs,Mollusques,Molluscs
22,vorombola,Paon,Peacock
23,Voay sy biby mandady hafa,Crocodiles et autres reptiles,Crocodiles and other reptiles
77,hafa,Autre,Other
